"","island","item","wh","gap","region","model","surprisal"
"283","nocomp",15,"that","gap","continuation","GRNN",18.286462187767
"284","nocomp",15,"that","gap","continuation","JRNN",18.1151497364044
"285","nocomp",15,"that","gap","continuation","NGRAM",18.9233622547386
"286","nocomp",15,"that","nogap","embed_obj","GPT2",7.21743607521057
"287","nocomp",15,"that","nogap","embed_obj","GPT3",6.31693948
"288","nocomp",15,"that","nogap","embed_obj","GRNN",18.7663464397192
"289","nocomp",15,"that","nogap","embed_obj","JRNN",10.7268813252449
"290","nocomp",15,"that","nogap","embed_obj","NGRAM",24.1526845746059
"291","nocomp",15,"what","gap","continuation","GPT2",7.89570474624634
"292","nocomp",15,"what","gap","continuation","GPT3",10.5537439
"293","nocomp",15,"what","gap","continuation","GRNN",19.5789802074432
"294","nocomp",15,"what","gap","continuation","JRNN",13.234442949295
"295","nocomp",15,"what","gap","continuation","NGRAM",18.9233622547386
"296","nocomp",15,"what","nogap","embed_obj","GPT2",9.87334805727005
"297","nocomp",15,"what","nogap","embed_obj","GPT3",6.7143553
"298","nocomp",15,"what","nogap","embed_obj","GRNN",21.3048112988472
"299","nocomp",15,"what","nogap","embed_obj","JRNN",18.3865697681904
"300","nocomp",15,"what","nogap","embed_obj","NGRAM",24.1526845746059
"301","nocomp",16,"that","gap","continuation","GPT2",16.6957066059113
"302","nocomp",16,"that","gap","continuation","GPT3",18.0443778
"303","nocomp",16,"that","gap","continuation","GRNN",29.9056868553162
"304","nocomp",16,"that","gap","continuation","JRNN",20.44722032547
"305","nocomp",16,"that","gap","continuation","NGRAM",11.9661192488396
"306","nocomp",16,"that","nogap","embed_obj","GPT2",6.90006852149964
"307","nocomp",16,"that","nogap","embed_obj","GPT3",7.2187258
"308","nocomp",16,"that","nogap","embed_obj","GRNN",18.5912084579467
"309","nocomp",16,"that","nogap","embed_obj","JRNN",10.383979678154
"310","nocomp",16,"that","nogap","embed_obj","NGRAM",25.2314355578176
"311","nocomp",16,"what","gap","continuation","GPT2",11.1533871293068
"312","nocomp",16,"what","gap","continuation","GPT3",13.3686422
"313","nocomp",16,"what","gap","continuation","GRNN",19.5641089677811
"314","nocomp",16,"what","gap","continuation","JRNN",15.9346944093704
"315","nocomp",16,"what","gap","continuation","NGRAM",11.9661192488396
"316","nocomp",16,"what","nogap","embed_obj","GPT2",11.7115608453751
"317","nocomp",16,"what","nogap","embed_obj","GPT3",11.7232558
"318","nocomp",16,"what","nogap","embed_obj","GRNN",23.4666156768799
"319","nocomp",16,"what","nogap","embed_obj","JRNN",19.7241907119751
"320","nocomp",16,"what","nogap","embed_obj","NGRAM",25.2314355578176
